Pseudo-terminal will not be allocated because stdin is not a terminal.
Pseudo-terminal will not be allocated because stdin is not a terminal.
Pseudo-terminal will not be allocated because stdin is not a terminal.
Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-11-02 18:01:56.651][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14112) ps rtp packet 321B, age=1177368470, vt=2/96, sts=62784/82317601/0x283c503, muxer (nil) lost_rate:00% req_id:
[2023-11-02 18:08:43.580][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14112) ps rtp packet 20B, age=1584302500, vt=2/96, sts=24690/118926000/0x283c503, muxer (nil) lost_rate:00% req_id:
[2023-11-02 18:11:17.035][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14112) ps rtp packet 1404B, age=1737765920, vt=2/96, sts=33269/132742800/0x283c503, muxer (nil) lost_rate:00% req_id:
[2023-11-02 18:16:11.530][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14112) ps rtp packet 1404B, age=2032253433, vt=2/96, sts=46686/159238800/0x283c503, muxer (nil) lost_rate:00% req_id:
[2023-11-02 21:10:57.848][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14016) ps rtp packet 472B, age=-366323984, vt=2/96, sts=45113/44697613/0x278a007, muxer (nil) lost_rate:00% req_id:
[2023-11-02 21:20:22.644][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14348) ps rtp packet 85B, age=198471802, vt=2/96, sts=13361/95400000/0x278a007, muxer (nil) lost_rate:00% req_id:
[2023-11-02 21:24:52.096][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14560) ps rtp packet 472B, age=467922095, vt=2/96, sts=61755/118738808/0x278a007, muxer (nil) lost_rate:00% req_id:
[2023-11-02 21:42:20.819][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14160) ps rtp packet 472B, age=1516649162, vt=2/96, sts=3142/213739206/0x278a007, muxer (nil) lost_rate:00% req_id:
[2023-11-02 21:44:54.234][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14560) ps rtp packet 1404B, age=1670061696, vt=2/96, sts=29934/227894400/0x278a007, muxer (nil) lost_rate:00% req_id:
[2023-11-02 22:00:05.053][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14016) ps rtp packet 472B, age=-1714089201, vt=2/96, sts=19162/308678389/0x278a007, muxer (nil) lost_rate:00% req_id:
[2023-11-02 22:28:03.003][Trace][42580][ra978785] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14348) ps rtp packet 472B, age=-36134312, vt=2/96, sts=48556/460357213/0x278a007, muxer (nil) lost_rate:00% req_id:
