Pseudo-terminal will not be allocated because stdin is not a terminal.
[0m[2023-11-07 10:09:15.704][Trace][16962][82968a16] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14016) ps rtp packet 1404B, age=944007191, vt=2/96, sts=0/0/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 10:11:01.433][Trace][16962][82968a16] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14016) ps rtp packet 1404B, age=1049736281, vt=2/96, sts=27525/8712000/0x278a107, muxer (nil) lost_rate:00% req_id:
[0m[2023-11-07 10:23:17.704][Trace][16962][82968a16] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14016) ps rtp packet 321B, age=1786001583, vt=2/96, sts=23823/54771829/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 10:30:18.846][Trace][16962][82968a16] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14016) ps rtp packet 321B, age=-2087829793, vt=2/96, sts=26321/79349884/0x278a107, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-28 23:02:52.529][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14208) ps rtp packet 1404B, age=-596655729, vt=2/96, sts=4671/2123305276/0x2747e07, muxer (nil) lost_rate:00% req_id:
[2023-10-28 23:54:54.344][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14268) ps rtp packet 1404B, age=-1769815387, vt=2/96, sts=32953/2404206076/0x2747e07, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-28 23:55:43.632][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14504) ps rtp packet 1404B, age=-1720520140, vt=2/96, sts=16062/2353903276/0x2747e05, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 00:38:47.010][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14336) ps rtp packet 1404B, age=862853072, vt=2/96, sts=4422/2641136476/0x2747e07, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 00:40:47.052][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14376) ps rtp packet 1404B, age=982894886, vt=2/96, sts=14567/2651990476/0x2747e07, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 01:14:31.701][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14344) ps rtp packet 1404B, age=-1287419455, vt=2/96, sts=57847/2834200876/0x2747e07, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 01:14:57.005][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14312) ps rtp packet 1404B, age=-1262113300, vt=2/96, sts=60159/2836483276/0x2747e07, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 01:23:55.284][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14336) ps rtp packet 1404B, age=-723835784, vt=2/96, sts=42516/2884924876/0x2747e07, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 01:39:41.650][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14336) ps rtp packet 1404B, age=222528551, vt=2/96, sts=50667/2970086746/0x2747e07, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-29 01:44:42.594][Trace][16973][31p3420o] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14208) ps rtp packet 1404B, age=523464852, vt=2/96, sts=12711/2997180076/0x2747e07, muxer (nil) lost_rate:00% req_id:
