Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-11-06 17:20:26.299][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14048) ps rtp packet 321B, age=383687169, vt=2/96, sts=26560/18954001/0x283a20e, muxer (nil) lost_rate:00% req_id:
[2023-11-06 17:22:12.318][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14048) ps rtp packet 1404B, age=489712347, vt=2/96, sts=39152/28512000/0x283a20e, muxer (nil) lost_rate:00% req_id:
[2023-11-06 17:24:39.966][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14048) ps rtp packet 1404B, age=637360810, vt=2/96, sts=56950/41799600/0x283a20e, muxer (nil) lost_rate:00% req_id:
[2023-11-06 17:31:26.163][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14048) ps rtp packet 321B, age=1043558105, vt=2/96, sts=23601/78332401/0x283a20e, muxer (nil) lost_rate:00% req_id:
[2023-11-06 17:47:25.920][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14172) ps rtp packet 321B, age=2003313476, vt=2/96, sts=28696/50857212/0x2838408, muxer (nil) lost_rate:00% req_id:
[2023-11-06 17:47:49.003][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14048) ps rtp packet 321B, age=2026390027, vt=2/96, sts=48338/166798801/0x283a20e, muxer (nil) lost_rate:00% req_id:
[2023-11-07 16:59:30.874][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14148) ps rtp packet 1404B, age=-371079001, vt=2/96, sts=0/0/0x278a108, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:00:04.351][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14196) ps rtp packet 1404B, age=-337606156, vt=2/96, sts=9815/2170800/0x278a108, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:01:31.836][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14148) ps rtp packet 321B, age=-250115848, vt=2/96, sts=23750/9590404/0x278a108, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:21:22.644][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14196) ps rtp packet 1404B, age=940690922, vt=2/96, sts=1776/118116270/0x278a108, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:21:40.644][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14196) ps rtp packet 321B, age=958691111, vt=2/96, sts=2967/119138680/0x278a108, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:22:36.655][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14148) ps rtp packet 1404B, age=1014696120, vt=2/96, sts=6432/124765200/0x278a108, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:23:49.294][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14148) ps rtp packet 321B, age=1087331936, vt=2/96, sts=10814/131385619/0x278a108, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:49:17.160][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14196) ps rtp packet 321B, age=-1679766170, vt=2/96, sts=6804/267919475/0x278a108, muxer (nil) lost_rate:00% req_id:
[2023-11-07 18:13:56.339][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14148) ps rtp packet 321B, age=-200579940, vt=2/96, sts=60852/400226594/0x278a108, muxer (nil) lost_rate:00% req_id:
[2023-11-07 18:26:41.979][Trace][15343][71q9cvpa] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14092) ps rtp packet 1404B, age=565058191, vt=2/96, sts=7790/469854000/0x278a108, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:04:44.523][Trace][15365][2n5v86z7] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14044) ps rtp packet 1404B, age=243611260, vt=2/96, sts=52354/254293200/0x2706401, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:27:09.771][Trace][15365][2n5v86z7] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14252) ps rtp packet 321B, age=1588844279, vt=2/96, sts=5246/375703201/0x2706401, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:31:01.024][Trace][15365][2n5v86z7] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14152) ps rtp packet 321B, age=1820113981, vt=2/96, sts=54065/396514801/0x2706401, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:47:55.397][Trace][15365][2n5v86z7] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14044) ps rtp packet 1404B, age=-1460481805, vt=2/96, sts=8303/487807470/0x2706401, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:02:47.700][Trace][15365][2n5v86z7] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14152) ps rtp packet 559B, age=-568177555, vt=2/96, sts=52335/568108800/0x2706401, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:03:52.002][Trace][15365][2n5v86z7] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14252) ps rtp packet 1404B, age=-503892866, vt=2/96, sts=1124/573897600/0x2706401, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:18:29.909][Trace][15365][2n5v86z7] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14252) ps rtp packet 321B, age=374023343, vt=2/96, sts=56690/652903201/0x2706401, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:19:28.701][Trace][15365][2n5v86z7] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14044) ps rtp packet 321B, age=432825142, vt=2/96, sts=3935/658195473/0x2706401, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:21:56.692][Trace][15365][2n5v86z7] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14044) ps rtp packet 884B, age=580815593, vt=2/96, sts=35413/671515200/0x2706401, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:27:12.093][Trace][15365][2n5v86z7] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14152) ps rtp packet 321B, age=896212322, vt=2/96, sts=39526/699901201/0x2706401, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:28:16.384][Trace][15365][2n5v86z7] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14044) ps rtp packet 1404B, age=960503629, vt=2/96, sts=53653/705690000/0x2706401, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:39:53.934][Trace][15365][2n5v86z7] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14252) ps rtp packet 321B, age=1658056946, vt=2/96, sts=10354/768463201/0x2706401, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:55:40.017][Trace][15365][2n5v86z7] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14044) ps rtp packet 1404B, age=-1690829556, vt=2/96, sts=23340/853614000/0x2706401, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:06:47.284][Trace][15365][2n5v86z7] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14152) ps rtp packet 321B, age=-1023564255, vt=2/96, sts=38956/913662271/0x2706401, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:07:43.821][Trace][15365][2n5v86z7] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14308) ps rtp packet 1404B, age=-967022912, vt=2/96, sts=51547/918748800/0x2706401, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:11:20.990][Trace][15365][2n5v86z7] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14252) ps rtp packet 321B, age=-749853758, vt=2/96, sts=34397/938293471/0x2706401, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-27 23:18:26.000][Trace][15365][2n5v86z7] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14308) ps rtp packet 321B, age=-324849907, vt=2/96, sts=63498/976543201/0x2706401, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-27 23:19:32.372][Trace][15365][2n5v86z7] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14252) ps rtp packet 1404B, age=-258478277, vt=2/96, sts=12778/982519470/0x2706401, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:24:19.169][Trace][15365][2n5v86z7] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14152) ps rtp packet 1404B, age=28319885, vt=2/96, sts=10527/1008331470/0x2706401, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-27 23:24:52.104][Trace][15365][2n5v86z7] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14252) ps rtp packet 1404B, age=61254449, vt=2/96, sts=17700/1011294000/0x2706401, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:35:50.859][Trace][15365][2n5v86z7] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14044) ps rtp packet 321B, age=720007821, vt=2/96, sts=33248/1070575203/0x2706401, muxer (nil) lost_rate:00% req_id:
