Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-10-27 23:10:52.056][Trace][27671][9m2j22rg] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14032) ps rtp packet 1404B, age=-421323312, vt=2/96, sts=52053/1207281586/0x27f690f, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:12:43.877][Trace][27671][9m2j22rg] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14088) ps rtp packet 321B, age=-309506280, vt=2/96, sts=36720/687927602/0x27f6903, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:15:49.030][Trace][27671][9m2j22rg] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14032) ps rtp packet 1404B, age=-124351450, vt=2/96, sts=52956/1234007986/0x27f690f, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:23:39.603][Trace][27671][9m2j22rg] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14088) ps rtp packet 1404B, age=346218627, vt=2/96, sts=49898/746946270/0x27f6903, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:39:20.930][Trace][27671][9m2j22rg] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14032) ps rtp packet 1404B, age=1287551212, vt=2/96, sts=33977/1361077186/0x27f690f, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:54:40.968][Trace][27671][9m2j22rg] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14032) ps rtp packet 321B, age=-2087383779, vt=2/96, sts=43768/1443877187/0x27f690f, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:59:41.361][Trace][27671][9m2j22rg] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14088) ps rtp packet 1404B, age=-1787001607, vt=2/96, sts=5594/941500800/0x27f6903, muxer (nil) lost_rate:00% req_id:
[0m[2023-10-28 00:03:45.158][Trace][27671][9m2j22rg] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14032) ps rtp packet 1404B, age=-1543197044, vt=2/96, sts=35464/1492855186/0x27f690f, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:05:41.741][Trace][27671][9m2j22rg] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14088) ps rtp packet 1404B, age=-1426610128, vt=2/96, sts=21513/973936800/0x27f6903, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:08:47.468][Trace][27671][9m2j22rg] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14088) ps rtp packet 510B, age=-1240883826, vt=2/96, sts=63310/990651600/0x27f6903, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:11:17.229][Trace][27671][9m2j22rg] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14032) ps rtp packet 1404B, age=-1091116741, vt=2/96, sts=5191/1533538786/0x27f690f, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:30:13.519][Trace][27671][9m2j22rg] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14032) ps rtp packet 1404B, age=45165872, vt=2/96, sts=64254/1635807586/0x27f690f, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:41:46.991][Trace][27671][9m2j22rg] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14032) ps rtp packet 1404B, age=738644533, vt=2/96, sts=24443/1698217186/0x27f690f, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:45:14.101][Trace][27671][9m2j22rg] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14088) ps rtp packet 321B, age=945753515, vt=2/96, sts=31184/1187442002/0x27f6903, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:52:44.726][Trace][27671][9m2j22rg] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14032) ps rtp packet 1404B, age=1396376146, vt=2/96, sts=42850/1757411986/0x27f690f, muxer (nil) lost_rate:00% req_id:
