Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-10-28 02:05:54.620][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=1322037285, vt=2/96, sts=62512/1880782920/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 02:13:54.675][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=1802097920, vt=2/96, sts=44263/1923986070/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 02:24:24.758][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-1862801587, vt=2/96, sts=14759/1980692100/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 02:28:20.397][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-1627148883, vt=2/96, sts=36781/2001900960/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 02:30:45.177][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-1482380123, vt=2/96, sts=24936/2014931790/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 02:37:28.080][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-1079469412, vt=2/96, sts=43624/2051192610/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 02:49:37.735][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-349815773, vt=2/96, sts=51121/2116858410/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 02:51:30.246][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=-237298761, vt=2/96, sts=27256/2126985570/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 03:01:26.261][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=358715201, vt=2/96, sts=46152/2180625660/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 03:01:52.725][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=385177342, vt=2/96, sts=55924/2183007060/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 03:03:45.285][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=497739523, vt=2/96, sts=32229/2193137730/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 03:09:22.828][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=835280450, vt=2/96, sts=25228/2223515430/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 03:18:07.103][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=1359554990, vt=2/96, sts=23228/2270699550/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 03:18:35.235][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=1387687372, vt=2/96, sts=33615/2273228640/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 03:22:12.754][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=1605194695, vt=2/96, sts=48974/2292809130/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 03:23:09.006][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=1661459994, vt=2/96, sts=4222/2297867220/0x27f8c08, muxer (nil) lost_rate:00% req_id:
[2023-10-28 03:27:02.221][Trace][10574][jq4g5us0] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14064) ps rtp packet 1404B, age=1894659466, vt=2/96, sts=25365/2318859990/0x27f8c08, muxer (nil) lost_rate:00% req_id:
