Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-10-28 01:11:10.916][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-1997720992, vt=2/96, sts=28880/1585256130/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 01:11:58.068][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-1950568794, vt=2/96, sts=46423/1589500080/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 01:13:32.360][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-1856287393, vt=2/96, sts=15938/1597987980/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 01:13:55.936][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-1832696382, vt=2/96, sts=24594/1600106400/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 01:43:28.429][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-60207136, vt=2/96, sts=22699/1759628880/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 01:52:50.989][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=502345858, vt=2/96, sts=34657/1810257120/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 02:04:51.119][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=1222478418, vt=2/96, sts=38950/1875069090/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 02:07:36.136][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=1387491652, vt=2/96, sts=34739/1889919270/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 02:12:42.604][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=1693969156, vt=2/96, sts=17527/1917501300/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 02:23:34.085][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-1949515931, vt=2/96, sts=61455/1976134680/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 02:27:31.041][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-1712560926, vt=2/96, sts=18477/1997458920/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 02:30:23.338][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-1540273142, vt=2/96, sts=16859/2012968350/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 02:31:07.262][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-1496336409, vt=2/96, sts=33204/2016920520/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 02:36:04.210][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-1199402777, vt=2/96, sts=12471/2043645030/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 02:38:11.410][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-1072190250, vt=2/96, sts=59657/2055090690/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 02:41:29.658][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-873954731, vt=2/96, sts=2130/2072931120/0x27f8c04, muxer (nil) lost_rate:00% req_id:
[2023-10-28 02:42:38.838][Trace][12814][32uc5630] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14028) ps rtp packet 1404B, age=-804761339, vt=2/96, sts=27796/2079160110/0x27f8c04, muxer (nil) lost_rate:00% req_id:
