Pseudo-terminal will not be allocated because stdin is not a terminal.
[0m[2023-11-07 04:06:39.649][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=851387278, vt=2/96, sts=35264/3260131186/0x278a107, muxer (nil) lost_rate:00% req_id:
[0m[2023-11-07 04:09:34.684][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=1026429496, vt=2/96, sts=17477/3274732786/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 04:09:53.980][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1302B, age=1045725648, vt=2/96, sts=22898/3275917186/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 04:20:51.703][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=1703445094, vt=2/96, sts=6029/3335450386/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 04:21:30.939][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 321B, age=1742681922, vt=2/96, sts=16471/3339813587/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 04:55:51.336][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 321B, age=-491886426, vt=2/96, sts=58364/3525735609/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 05:13:18.108][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=554885237, vt=2/96, sts=16788/3618910786/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 05:40:49.272][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=-2088920253, vt=2/96, sts=10412/3768145186/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 05:48:01.283][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=-1656921197, vt=2/96, sts=64568/3806035186/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 05:53:31.659][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 321B, age=-1326529997, vt=2/96, sts=25505/3835882796/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 05:58:19.765][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 321B, age=-1038425521, vt=2/96, sts=38538/3861439465/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 06:02:47.996][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 321B, age=-770197799, vt=2/96, sts=47203/3885832799/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 06:05:25.196][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=-612993998, vt=2/96, sts=25401/3901373986/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 06:19:58.594][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=260397333, vt=2/96, sts=4065/3979688386/0x278a107, muxer (nil) lost_rate:00% req_id:
[2023-11-07 06:24:09.737][Trace][36246][94898l54] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14004) ps rtp packet 1404B, age=511548354, vt=2/96, sts=7095/4002501586/0x278a107, muxer (nil) lost_rate:00% req_id:
