Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-11-07 17:48:37.341][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14180) ps rtp packet 321B, age=-1549634567, vt=2/96, sts=24025/265050005/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-11-07 17:58:12.140][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14180) ps rtp packet 1404B, age=-974835706, vt=2/96, sts=21276/317070270/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-11-07 18:01:57.164][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14180) ps rtp packet 1404B, age=-749803001, vt=2/96, sts=42432/337219200/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-11-07 18:03:49.672][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14180) ps rtp packet 321B, age=-637299633, vt=2/96, sts=47553/347137202/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-11-07 18:07:55.059][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14180) ps rtp packet 1404B, age=-391913430, vt=2/96, sts=60422/369270000/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-11-07 18:09:23.822][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14180) ps rtp packet 321B, age=-303164081, vt=2/96, sts=65343/377190006/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-11-07 18:14:11.690][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14180) ps rtp packet 1404B, age=-15276300, vt=2/96, sts=11683/403156800/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-11-07 18:17:51.913][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14180) ps rtp packet 321B, age=204937335, vt=2/96, sts=20247/422949601/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-11-07 18:19:41.548][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14180) ps rtp packet 321B, age=314562397, vt=2/96, sts=24893/432777602/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-11-07 18:20:24.628][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14180) ps rtp packet 1404B, age=357649565, vt=2/96, sts=26391/436716270/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-11-07 18:21:32.179][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14180) ps rtp packet 321B, age=425209866, vt=2/96, sts=28579/442702801/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-11-07 18:21:54.676][Trace][10753][7449f53a] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14180) ps rtp packet 1404B, age=447703718, vt=2/96, sts=29336/444823200/0x2706406, muxer (nil) lost_rate:00% req_id:
[2023-10-27 21:03:01.707][Trace][10770][7357o0r9] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14048) ps rtp packet 1404B, age=310250750, vt=2/96, sts=42235/85244400/0x283a504, muxer (nil) lost_rate:00% req_id:
[2023-10-28 10:57:53.384][Trace][10770][7357o0r9] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14300) ps rtp packet 1404B, age=-1137674351, vt=2/96, sts=0/0/0x283a508, muxer (nil) lost_rate:00% req_id:
[2023-10-28 11:05:22.952][Trace][10770][7357o0r9] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14276) ps rtp packet 321B, age=-688118997, vt=2/96, sts=63987/40471201/0x283a508, muxer (nil) lost_rate:00% req_id:
[2023-10-28 11:07:51.262][Trace][10770][7357o0r9] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14288) ps rtp packet 1404B, age=-539798003, vt=2/96, sts=18834/53841870/0x283a508, muxer (nil) lost_rate:00% req_id:
[2023-10-28 11:08:23.462][Trace][10770][7357o0r9] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14300) ps rtp packet 1404B, age=-507601754, vt=2/96, sts=23164/56674800/0x283a508, muxer (nil) lost_rate:00% req_id:
[2023-10-28 11:10:15.312][Trace][10770][7357o0r9] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14304) ps rtp packet 1404B, age=-395749892, vt=2/96, sts=38256/66834000/0x283a508, muxer (nil) lost_rate:00% req_id:
[2023-10-28 11:17:05.830][Trace][10770][7357o0r9] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14040) ps rtp packet 1404B, age=14771856, vt=2/96, sts=28529/103809600/0x283a509, muxer (nil) lost_rate:00% req_id:
[2023-10-28 11:19:09.130][Trace][10770][7357o0r9] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14300) ps rtp packet 321B, age=138071765, vt=2/96, sts=45079/114861612/0x283a508, muxer (nil) lost_rate:00% req_id:
[2023-10-28 11:24:04.977][Trace][10770][7357o0r9] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14300) ps rtp packet 1404B, age=433917227, vt=2/96, sts=20882/141483600/0x283a508, muxer (nil) lost_rate:00% req_id:
[2023-10-28 11:24:58.984][Trace][10770][7357o0r9] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14320) ps rtp packet 1404B, age=487914303, vt=2/96, sts=28087/146347470/0x283a508, muxer (nil) lost_rate:00% req_id:
[2023-10-28 11:29:57.758][Trace][10770][7357o0r9] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14304) ps rtp packet 321B, age=786694584, vt=2/96, sts=4008/173214029/0x283a508, muxer (nil) lost_rate:00% req_id:
[2023-10-28 11:42:45.334][Trace][10770][7357o0r9] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14040) ps rtp packet 321B, age=1554269659, vt=2/96, sts=42637/242125224/0x283a509, muxer (nil) lost_rate:00% req_id:
[2023-10-28 11:47:44.350][Trace][10770][7357o0r9] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14320) ps rtp packet 1404B, age=1853280323, vt=2/96, sts=17562/269128800/0x283a508, muxer (nil) lost_rate:00% req_id:
[2023-10-28 11:48:43.650][Trace][10770][7357o0r9] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14300) ps rtp packet 1404B, age=1912589639, vt=2/96, sts=26035/274554000/0x283a508, muxer (nil) lost_rate:00% req_id:
[2023-10-28 11:59:04.694][Trace][10770][7357o0r9] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14300) ps rtp packet 1404B, age=-1761330724, vt=2/96, sts=38095/330177600/0x283a508, muxer (nil) lost_rate:00% req_id:
[2023-10-28 12:02:55.600][Trace][10770][7357o0r9] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14320) ps rtp packet 1404B, age=-1530425493, vt=2/96, sts=60867/351172800/0x283a508, muxer (nil) lost_rate:00% req_id:
[2023-10-28 12:03:53.109][Trace][10770][7357o0r9] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14300) ps rtp packet 1404B, age=-1472927847, vt=2/96, sts=1515/356410800/0x283a508, muxer (nil) lost_rate:00% req_id:
[2023-10-28 12:08:51.130][Trace][10770][7357o0r9] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14300) ps rtp packet 1404B, age=-1174899202, vt=2/96, sts=31756/383191200/0x283a508, muxer (nil) lost_rate:00% req_id:
[2023-10-28 12:14:22.035][Trace][10770][7357o0r9] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14288) ps rtp packet 321B, age=-843992248, vt=2/96, sts=64360/412736403/0x283a508, muxer (nil) lost_rate:00% req_id:
[2023-10-28 12:29:07.493][Trace][10770][7357o0r9] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14288) ps rtp packet 321B, age=41450382, vt=2/96, sts=23188/492476401/0x283a508, muxer (nil) lost_rate:00% req_id:
[2023-10-28 12:30:42.059][Trace][10770][7357o0r9] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14040) ps rtp packet 321B, age=136026408, vt=2/96, sts=31711/501102001/0x283a509, muxer (nil) lost_rate:00% req_id:
[2023-10-29 12:10:59.462][Trace][10770][7357o0r9] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14220) ps rtp packet 1404B, age=-545925387, vt=2/96, sts=13187/13200930/0x283640c, muxer (nil) lost_rate:00% req_id:
[2023-10-29 12:22:00.504][Trace][10770][7357o0r9] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14220) ps rtp packet 321B, age=115124874, vt=2/96, sts=5862/72341731/0x283640c, muxer (nil) lost_rate:00% req_id:
[2023-10-29 12:23:25.618][Trace][10770][7357o0r9] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14144) ps rtp packet 321B, age=200235968, vt=2/96, sts=13613/80236531/0x283640c, muxer (nil) lost_rate:00% req_id:
[2023-10-29 12:33:14.037][Trace][10770][7357o0r9] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14144) ps rtp packet 321B, age=788661959, vt=2/96, sts=64898/133228531/0x283640c, muxer (nil) lost_rate:00% req_id:
[2023-10-29 12:33:42.430][Trace][10770][7357o0r9] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14220) ps rtp packet 1404B, age=817046577, vt=2/96, sts=1849/135798930/0x283640c, muxer (nil) lost_rate:00% req_id:
[2023-10-29 12:36:04.109][Trace][10770][7357o0r9] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14144) ps rtp packet 321B, age=958722841, vt=2/96, sts=13768/148524919/0x283640c, muxer (nil) lost_rate:00% req_id:
[2023-10-29 12:40:17.486][Trace][10770][7357o0r9] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14220) ps rtp packet 1404B, age=1212114311, vt=2/96, sts=35586/171356116/0x283640c, muxer (nil) lost_rate:00% req_id:
