Pseudo-terminal will not be allocated because stdin is not a terminal.
[2023-10-27 22:12:17.002][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14288) ps rtp packet 1404B, age=-14686862, vt=2/96, sts=29027/361674000/0x2747e03, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:17:27.822][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 1404B, age=296126679, vt=2/96, sts=42934/647265600/0x2706409, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:18:16.598][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 321B, age=344906327, vt=2/96, sts=53722/651708001/0x2706409, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:19:30.334][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 321B, age=418641404, vt=2/96, sts=4317/658339203/0x2706409, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:22:30.594][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14288) ps rtp packet 1404B, age=598893810, vt=2/96, sts=19506/416894400/0x2747e03, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:31:43.177][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 1404B, age=1151474738, vt=2/96, sts=33906/724294800/0x2706409, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:32:35.861][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14288) ps rtp packet 1404B, age=1204155966, vt=2/96, sts=9624/471366000/0x2747e03, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:34:12.161][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 1404B, age=1300464347, vt=2/96, sts=1326/737704800/0x2706409, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:36:16.573][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 1404B, age=1424878513, vt=2/96, sts=28913/748900800/0x2706409, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:39:19.960][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 1404B, age=1608262132, vt=2/96, sts=2747/765406800/0x2706409, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:48:33.216][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 1404B, age=-2133445164, vt=2/96, sts=59931/815195070/0x2706409, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:53:06.092][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 1404B, age=-1860571000, vt=2/96, sts=54868/839757600/0x2706409, muxer (nil) lost_rate:00% req_id:
[2023-10-27 22:58:45.815][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 1404B, age=-1520841089, vt=2/96, sts=63983/870328800/0x2706409, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:12:08.830][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 1404B, age=-717825940, vt=2/96, sts=45007/942598800/0x2706409, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:16:20.190][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 1404B, age=-466465614, vt=2/96, sts=35442/965221200/0x2706409, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:18:28.270][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 321B, age=-338397256, vt=2/96, sts=64003/976744801/0x2706409, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:20:07.069][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 1404B, age=-239599642, vt=2/96, sts=20434/985636800/0x2706409, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:25:03.597][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 321B, age=56929680, vt=2/96, sts=20242/1012327201/0x2706409, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:32:38.771][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 321B, age=512096973, vt=2/96, sts=55995/1053288001/0x2706409, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:42:36.665][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 321B, age=1110006208, vt=2/96, sts=55499/1107097203/0x2706409, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:54:17.785][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 321B, age=1811123927, vt=2/96, sts=9352/1170151219/0x2706409, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:55:34.680][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 1404B, age=1888008889, vt=2/96, sts=25844/1177117200/0x2706409, muxer (nil) lost_rate:00% req_id:
[2023-10-27 23:58:25.616][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 321B, age=2058945484, vt=2/96, sts=62355/1192471481/0x2706409, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:05:00.401][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 1404B, age=-1841230645, vt=2/96, sts=17715/1228035600/0x2706409, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:07:04.165][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 1404B, age=-1717458416, vt=2/96, sts=45231/1239174000/0x2706409, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:17:26.578][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 1404B, age=-1095050350, vt=2/96, sts=51122/1295190270/0x2706409, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:17:51.134][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 321B, age=-1070497629, vt=2/96, sts=56580/1297393471/0x2706409, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:19:05.161][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 321B, age=-996471180, vt=2/96, sts=7487/1304056801/0x2706409, muxer (nil) lost_rate:00% req_id:
[2023-10-28 00:19:54.641][Trace][14872][07661fmv] udp gb28181 rtp enqueue : client_id , peer(111.56.244.163, 14212) ps rtp packet 1404B, age=-946993335, vt=2/96, sts=18560/1308513600/0x2706409, muxer (nil) lost_rate:00% req_id:
